[02-18 00:51] === Binance V3 启动 ===
[02-18 00:51] 原则: 均线多头+回调企稳 | 严格止损2%
[02-18 00:51] BTCUSDT: 价格$67,394 | MA20=68,978 | MA50=68,469 | 信号: None
[02-18 00:51] ETHUSDT: 价格$1,964 | MA20=2,012 | MA50=2,006 | 信号: None
[02-18 00:56] BTCUSDT: 价格$67,326 | MA20=68,975 | MA50=68,468 | 信号: None
[02-18 00:56] ETHUSDT: 价格$1,965 | MA20=2,012 | MA50=2,006 | 信号: None
[02-18 01:02] BTCUSDT: 价格$67,690 | MA20=68,837 | MA50=68,444 | 信号: None
[02-18 01:02] ETHUSDT: 价格$1,987 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 01:07] BTCUSDT: 价格$67,882 | MA20=68,847 | MA50=68,448 | 信号: None
[02-18 01:07] ETHUSDT: 价格$1,991 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 01:12] BTCUSDT: 价格$67,709 | MA20=68,838 | MA50=68,445 | 信号: None
[02-18 01:12] ETHUSDT: 价格$1,987 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 01:17] BTCUSDT: 价格$67,816 | MA20=68,843 | MA50=68,447 | 信号: None
[02-18 01:17] ETHUSDT: 价格$1,990 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 01:22] BTCUSDT: 价格$67,677 | MA20=68,837 | MA50=68,444 | 信号: None
[02-18 01:22] ETHUSDT: 价格$1,985 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 01:27] BTCUSDT: 价格$67,701 | MA20=68,838 | MA50=68,445 | 信号: None
[02-18 01:27] ETHUSDT: 价格$1,988 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 01:32] BTCUSDT: 价格$67,538 | MA20=68,830 | MA50=68,441 | 信号: None
[02-18 01:32] ETHUSDT: 价格$1,986 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 01:37] BTCUSDT: 价格$68,114 | MA20=68,858 | MA50=68,453 | 信号: None
[02-18 01:37] ETHUSDT: 价格$2,006 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 01:42] BTCUSDT: 价格$67,832 | MA20=68,844 | MA50=68,447 | 信号: None
[02-18 01:42] ETHUSDT: 价格$1,995 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 01:47] BTCUSDT: 价格$67,662 | MA20=68,836 | MA50=68,444 | 信号: None
[02-18 01:47] ETHUSDT: 价格$1,989 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 01:52] BTCUSDT: 价格$67,723 | MA20=68,839 | MA50=68,445 | 信号: None
[02-18 01:52] ETHUSDT: 价格$1,988 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 01:57] BTCUSDT: 价格$67,731 | MA20=68,839 | MA50=68,445 | 信号: None
[02-18 01:57] ETHUSDT: 价格$1,987 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 02:02] BTCUSDT: 价格$67,563 | MA20=68,831 | MA50=68,442 | 信号: None
[02-18 02:02] ETHUSDT: 价格$1,980 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 02:07] BTCUSDT: 价格$67,609 | MA20=68,833 | MA50=68,443 | 信号: None
[02-18 02:07] ETHUSDT: 价格$1,980 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 02:12] BTCUSDT: 价格$67,134 | MA20=68,809 | MA50=68,433 | 信号: None
[02-18 02:12] ETHUSDT: 价格$1,960 | MA20=2,005 | MA50=2,004 | 信号: None
[02-18 02:17] BTCUSDT: 价格$67,236 | MA20=68,814 | MA50=68,435 | 信号: None
[02-18 02:17] ETHUSDT: 价格$1,964 | MA20=2,005 | MA50=2,005 | 信号: None
[02-18 02:22] BTCUSDT: 价格$67,370 | MA20=68,821 | MA50=68,438 | 信号: None
[02-18 02:22] ETHUSDT: 价格$1,971 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 02:27] BTCUSDT: 价格$67,438 | MA20=68,825 | MA50=68,439 | 信号: None
[02-18 02:27] ETHUSDT: 价格$1,972 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 02:32] BTCUSDT: 价格$67,323 | MA20=68,819 | MA50=68,437 | 信号: None
[02-18 02:32] ETHUSDT: 价格$1,969 | MA20=2,005 | MA50=2,005 | 信号: None
[02-18 02:37] BTCUSDT: 价格$67,218 | MA20=68,814 | MA50=68,435 | 信号: None
[02-18 02:37] ETHUSDT: 价格$1,970 | MA20=2,005 | MA50=2,005 | 信号: None
[02-18 02:42] BTCUSDT: 价格$67,044 | MA20=68,805 | MA50=68,432 | 信号: None
[02-18 02:42] ETHUSDT: 价格$1,963 | MA20=2,005 | MA50=2,005 | 信号: None
[02-18 02:47] BTCUSDT: 价格$67,029 | MA20=68,804 | MA50=68,431 | 信号: None
[02-18 02:47] ETHUSDT: 价格$1,956 | MA20=2,005 | MA50=2,004 | 信号: None
[02-18 02:52] BTCUSDT: 价格$67,200 | MA20=68,813 | MA50=68,435 | 信号: None
[02-18 02:52] ETHUSDT: 价格$1,963 | MA20=2,005 | MA50=2,004 | 信号: None
[02-18 02:57] BTCUSDT: 价格$67,207 | MA20=68,813 | MA50=68,435 | 信号: None
[02-18 02:57] ETHUSDT: 价格$1,962 | MA20=2,005 | MA50=2,004 | 信号: None
[02-18 03:02] BTCUSDT: 价格$67,240 | MA20=68,815 | MA50=68,435 | 信号: None
[02-18 03:02] ETHUSDT: 价格$1,965 | MA20=2,005 | MA50=2,005 | 信号: None
[02-18 03:07] BTCUSDT: 价格$67,197 | MA20=68,812 | MA50=68,435 | 信号: None
[02-18 03:07] ETHUSDT: 价格$1,965 | MA20=2,005 | MA50=2,005 | 信号: None
[02-18 03:12] BTCUSDT: 价格$67,248 | MA20=68,815 | MA50=68,436 | 信号: None
[02-18 03:12] ETHUSDT: 价格$1,966 | MA20=2,005 | MA50=2,005 | 信号: None
[02-18 03:17] BTCUSDT: 价格$67,328 | MA20=68,819 | MA50=68,437 | 信号: None
[02-18 03:17] ETHUSDT: 价格$1,967 | MA20=2,005 | MA50=2,005 | 信号: None
[02-18 03:22] BTCUSDT: 价格$67,687 | MA20=68,837 | MA50=68,444 | 信号: None
[02-18 03:22] ETHUSDT: 价格$1,987 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 03:27] BTCUSDT: 价格$67,643 | MA20=68,835 | MA50=68,444 | 信号: None
[02-18 03:27] ETHUSDT: 价格$1,985 | MA20=2,006 | MA50=2,005 | 信号: None
[02-18 03:32] BTCUSDT: 价格$67,789 | MA20=68,842 | MA50=68,446 | 信号: None
[02-18 03:32] ETHUSDT: 价格$1,992 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 03:37] BTCUSDT: 价格$67,797 | MA20=68,843 | MA50=68,447 | 信号: None
[02-18 03:37] ETHUSDT: 价格$1,994 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 03:42] BTCUSDT: 价格$67,983 | MA20=68,852 | MA50=68,450 | 信号: None
[02-18 03:42] ETHUSDT: 价格$2,003 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 03:47] BTCUSDT: 价格$67,974 | MA20=68,851 | MA50=68,450 | 信号: None
[02-18 03:47] ETHUSDT: 价格$2,000 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 03:52] BTCUSDT: 价格$67,968 | MA20=68,851 | MA50=68,450 | 信号: None
[02-18 03:52] ETHUSDT: 价格$2,000 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 03:57] BTCUSDT: 价格$68,130 | MA20=68,859 | MA50=68,453 | 信号: None
[02-18 03:57] ETHUSDT: 价格$2,003 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 04:02] BTCUSDT: 价格$68,021 | MA20=68,854 | MA50=68,451 | 信号: None
[02-18 04:02] ETHUSDT: 价格$1,999 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 04:07] BTCUSDT: 价格$68,035 | MA20=68,854 | MA50=68,451 | 信号: None
[02-18 04:07] ETHUSDT: 价格$2,001 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 04:12] BTCUSDT: 价格$68,046 | MA20=68,855 | MA50=68,452 | 信号: None
[02-18 04:12] ETHUSDT: 价格$2,003 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 04:17] BTCUSDT: 价格$67,995 | MA20=68,852 | MA50=68,451 | 信号: None
[02-18 04:17] ETHUSDT: 价格$2,010 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 04:22] BTCUSDT: 价格$68,048 | MA20=68,855 | MA50=68,452 | 信号: None
[02-18 04:22] ETHUSDT: 价格$2,012 | MA20=2,008 | MA50=2,005 | 信号: None
[02-18 04:27] BTCUSDT: 价格$68,050 | MA20=68,855 | MA50=68,452 | 信号: None
[02-18 04:27] ETHUSDT: 价格$2,008 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 04:32] BTCUSDT: 价格$67,892 | MA20=68,847 | MA50=68,449 | 信号: None
[02-18 04:32] ETHUSDT: 价格$2,000 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 04:37] BTCUSDT: 价格$67,859 | MA20=68,846 | MA50=68,448 | 信号: None
[02-18 04:37] ETHUSDT: 价格$1,999 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 04:42] BTCUSDT: 价格$67,862 | MA20=68,846 | MA50=68,448 | 信号: None
[02-18 04:42] ETHUSDT: 价格$2,000 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 04:47] BTCUSDT: 价格$67,980 | MA20=68,852 | MA50=68,450 | 信号: None
[02-18 04:47] ETHUSDT: 价格$2,005 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 04:52] BTCUSDT: 价格$67,842 | MA20=68,845 | MA50=68,447 | 信号: None
[02-18 04:52] ETHUSDT: 价格$2,000 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 04:57] BTCUSDT: 价格$67,883 | MA20=68,847 | MA50=68,448 | 信号: None
[02-18 04:57] ETHUSDT: 价格$2,001 | MA20=2,007 | MA50=2,005 | 信号: None
[02-18 05:02] BTCUSDT: 价格$67,809 | MA20=68,744 | MA50=68,411 | 信号: None
[02-18 05:02] ETHUSDT: 价格$2,001 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 05:07] BTCUSDT: 价格$67,600 | MA20=68,733 | MA50=68,407 | 信号: None
[02-18 05:07] ETHUSDT: 价格$1,993 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 05:12] BTCUSDT: 价格$67,597 | MA20=68,733 | MA50=68,407 | 信号: None
[02-18 05:12] ETHUSDT: 价格$1,995 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 05:17] BTCUSDT: 价格$67,619 | MA20=68,734 | MA50=68,408 | 信号: None
[02-18 05:17] ETHUSDT: 价格$1,994 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 05:22] BTCUSDT: 价格$67,589 | MA20=68,733 | MA50=68,407 | 信号: None
[02-18 05:22] ETHUSDT: 价格$1,994 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 05:27] BTCUSDT: 价格$67,710 | MA20=68,739 | MA50=68,409 | 信号: None
[02-18 05:27] ETHUSDT: 价格$1,994 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 05:32] BTCUSDT: 价格$67,626 | MA20=68,735 | MA50=68,408 | 信号: None
[02-18 05:32] ETHUSDT: 价格$1,991 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 05:37] BTCUSDT: 价格$67,629 | MA20=68,735 | MA50=68,408 | 信号: None
[02-18 05:37] ETHUSDT: 价格$1,993 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 05:42] BTCUSDT: 价格$67,830 | MA20=68,745 | MA50=68,412 | 信号: None
[02-18 05:42] ETHUSDT: 价格$2,000 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 05:47] BTCUSDT: 价格$67,828 | MA20=68,745 | MA50=68,412 | 信号: None
[02-18 05:47] ETHUSDT: 价格$1,998 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 05:52] BTCUSDT: 价格$67,760 | MA20=68,741 | MA50=68,410 | 信号: None
[02-18 05:52] ETHUSDT: 价格$1,997 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 05:57] BTCUSDT: 价格$67,799 | MA20=68,743 | MA50=68,411 | 信号: None
[02-18 05:57] ETHUSDT: 价格$1,997 | MA20=2,002 | MA50=2,004 | 信号: 做空
[02-18 06:02] BTCUSDT: 价格$67,668 | MA20=68,737 | MA50=68,409 | 信号: None
